lat,lon,elevation,time
55.738403000,13.209132000,59.8,2016-07-21T15:11:49Z
55.738497000,13.209037000,59.8,2016-07-21T15:11:54Z
55.738602000,13.209049000,59.7,2016-07-21T15:11:58Z
55.738686000,13.209061000,59.6,2016-07-21T15:12:02Z
55.738785000,13.209067000,59.5,2016-07-21T15:12:08Z
55.738883000,13.209076000,59.5,2016-07-21T15:12:14Z
55.738968000,13.209032000,59.4,2016-07-21T15:12:20Z
55.739049000,13.208945000,59.3,2016-07-21T15:12:26Z
55.739104000,13.208808000,59.2,2016-07-21T15:12:33Z
55.739118000,13.208645000,59.2,2016-07-21T15:12:39Z
55.739134000,13.208492000,59.2,2016-07-21T15:12:45Z
55.739150000,13.208344000,59.3,2016-07-21T15:12:51Z
55.739146000,13.208201000,59.4,2016-07-21T15:12:58Z
55.739181000,13.208038000,59.5,2016-07-21T15:13:05Z
55.739215000,13.207903000,59.5,2016-07-21T15:13:10Z
55.739243000,13.207739000,59.6,2016-07-21T15:13:16Z
55.739287000,13.207600000,59.7,2016-07-21T15:13:21Z
55.739315000,13.207445000,59.8,2016-07-21T15:13:29Z
55.739367000,13.207323000,59.9,2016-07-21T15:13:37Z
55.739425000,13.207220000,60.0,2016-07-21T15:13:43Z
55.739485000,13.207114000,60.0,2016-07-21T15:13:52Z
55.739565000,13.207091000,60.0,2016-07-21T15:13:56Z
55.739647000,13.207067000,60.0,2016-07-21T15:14:01Z
55.739709000,13.207179000,60.1,2016-07-21T15:14:19Z
55.739727000,13.207357000,60.2,2016-07-21T15:14:22Z
55.739698000,13.207548000,60.3,2016-07-21T15:14:25Z
55.739671000,13.207750000,60.4,2016-07-21T15:14:29Z
55.739685000,13.207892000,60.5,2016-07-21T15:14:33Z
55.739757000,13.207997000,60.5,2016-07-21T15:14:37Z
55.739739000,13.208139000,60.5,2016-07-21T15:14:40Z
55.739732000,13.208324000,60.4,2016-07-21T15:14:44Z
55.739701000,13.208479000,60.3,2016-07-21T15:14:50Z
55.739668000,13.208662000,60.2,2016-07-21T15:15:04Z
55.739646000,13.208827000,60.1,2016-07-21T15:15:08Z
55.739628000,13.208967000,59.9,2016-07-21T15:15:11Z
55.739589000,13.209123000,59.7,2016-07-21T15:15:15Z
55.739559000,13.209298000,59.5,2016-07-21T15:15:19Z
55.739539000,13.209463000,59.4,2016-07-21T15:15:23Z
55.739522000,13.209623000,59.2,2016-07-21T15:15:27Z
55.739545000,13.209763000,59.1,2016-07-21T15:15:30Z
55.739566000,13.209905000,59.4,2016-07-21T15:15:33Z
55.739577000,13.210064000,59.6,2016-07-21T15:15:36Z
55.739588000,13.210231000,59.9,2016-07-21T15:15:40Z
55.739603000,13.210377000,60.2,2016-07-21T15:15:43Z
55.739616000,13.210520000,60.5,2016-07-21T15:15:46Z
55.739647000,13.210693000,60.7,2016-07-21T15:15:50Z
55.739661000,13.210858000,61.0,2016-07-21T15:15:54Z
55.739676000,13.211017000,61.3,2016-07-21T15:15:58Z
55.739679000,13.211186000,61.5,2016-07-21T15:16:02Z
55.739706000,13.211324000,61.8,2016-07-21T15:16:06Z
55.739711000,13.211501000,62.0,2016-07-21T15:16:10Z
55.739737000,13.211677000,62.0,2016-07-21T15:16:14Z
55.739760000,13.211827000,62.0,2016-07-21T15:16:18Z
55.739775000,13.211974000,62.0,2016-07-21T15:16:21Z
55.739795000,13.212131000,62.1,2016-07-21T15:16:25Z
55.739813000,13.212309000,62.2,2016-07-21T15:16:29Z
55.739840000,13.212502000,62.3,2016-07-21T15:16:33Z
55.739855000,13.212659000,62.4,2016-07-21T15:16:37Z
55.739870000,13.212830000,62.5,2016-07-21T15:16:41Z
55.739886000,13.212982000,62.5,2016-07-21T15:16:45Z
55.739880000,13.213151000,62.6,2016-07-21T15:16:52Z
55.739885000,13.213316000,62.7,2016-07-21T15:17:29Z
55.739888000,13.213487000,62.8,2016-07-21T15:17:33Z
55.739917000,13.213637000,62.9,2016-07-21T15:17:37Z
55.739942000,13.213779000,63.0,2016-07-21T15:17:40Z
55.739971000,13.213956000,63.0,2016-07-21T15:17:44Z
55.739970000,13.214101000,63.0,2016-07-21T15:17:47Z
55.739951000,13.214265000,63.0,2016-07-21T15:17:50Z
55.739987000,13.214396000,63.0,2016-07-21T15:17:55Z
55.739992000,13.214545000,63.0,2016-07-21T15:17:58Z
55.739999000,13.214699000,63.0,2016-07-21T15:18:01Z
55.740019000,13.214861000,63.0,2016-07-21T15:18:05Z
55.740041000,13.215033000,63.0,2016-07-21T15:18:09Z
55.740047000,13.215177000,63.0,2016-07-21T15:18:13Z
55.740058000,13.215334000,63.0,2016-07-21T15:18:19Z
55.740084000,13.215477000,63.0,2016-07-21T15:18:25Z
55.740116000,13.215622000,62.9,2016-07-21T15:18:30Z
55.740158000,13.215798000,62.8,2016-07-21T15:18:34Z
55.740166000,13.215942000,62.7,2016-07-21T15:18:37Z
55.740175000,13.216097000,62.6,2016-07-21T15:18:41Z
55.740193000,13.216276000,62.5,2016-07-21T15:18:45Z
55.740213000,13.216436000,62.5,2016-07-21T15:18:49Z
55.740231000,13.216605000,62.5,2016-07-21T15:18:53Z
55.740245000,13.216775000,62.5,2016-07-21T15:18:57Z
55.740266000,13.216928000,62.5,2016-07-21T15:19:01Z
55.740261000,13.217082000,62.5,2016-07-21T15:19:04Z
55.740281000,13.217234000,62.6,2016-07-21T15:19:08Z
55.740278000,13.217380000,62.8,2016-07-21T15:19:11Z
55.740302000,13.217555000,63.0,2016-07-21T15:19:15Z
55.740312000,13.217717000,63.2,2016-07-21T15:19:19Z
55.740330000,13.217894000,63.4,2016-07-21T15:19:23Z
55.740342000,13.218037000,63.5,2016-07-21T15:19:26Z
55.740360000,13.218187000,63.5,2016-07-21T15:19:30Z
55.740376000,13.218349000,63.5,2016-07-21T15:19:34Z
55.740399000,13.218504000,63.5,2016-07-21T15:19:38Z
55.740412000,13.218694000,63.5,2016-07-21T15:19:42Z
55.740445000,13.218881000,63.5,2016-07-21T15:19:57Z
55.740465000,13.219058000,63.5,2016-07-21T15:20:01Z
55.740491000,13.219298000,63.5,2016-07-21T15:20:06Z
55.740496000,13.219475000,63.5,2016-07-21T15:20:10Z
55.740491000,13.219625000,63.5,2016-07-21T15:20:13Z
55.740482000,13.219802000,63.5,2016-07-21T15:20:17Z
55.740414000,13.219952000,63.5,2016-07-21T15:20:22Z
55.740335000,13.220052000,63.6,2016-07-21T15:20:27Z
55.740240000,13.220156000,63.7,2016-07-21T15:20:31Z
55.740162000,13.220255000,63.8,2016-07-21T15:20:35Z
55.740091000,13.220330000,63.9,2016-07-21T15:20:38Z
55.740019000,13.220408000,64.0,2016-07-21T15:20:42Z
55.739947000,13.220478000,63.9,2016-07-21T15:20:50Z
55.739877000,13.220568000,63.8,2016-07-21T15:20:55Z
55.739800000,13.220636000,63.7,2016-07-21T15:21:00Z
55.739720000,13.220718000,63.6,2016-07-21T15:21:04Z
55.739645000,13.220790000,63.5,2016-07-21T15:21:09Z
55.739578000,13.220881000,63.5,2016-07-21T15:21:15Z
55.739504000,13.220942000,63.5,2016-07-21T15:21:21Z
55.739423000,13.221024000,63.5,2016-07-21T15:21:27Z
55.739346000,13.221095000,63.5,2016-07-21T15:21:34Z
55.739271000,13.221155000,63.5,2016-07-21T15:21:40Z
55.739198000,13.221232000,63.4,2016-07-21T15:21:47Z
55.739123000,13.221323000,63.4,2016-07-21T15:21:53Z
55.739033000,13.221421000,63.4,2016-07-21T15:21:59Z
55.738962000,13.221495000,63.4,2016-07-21T15:22:03Z
55.738870000,13.221565000,63.4,2016-07-21T15:22:07Z
55.738800000,13.221642000,63.4,2016-07-21T15:22:11Z
55.738730000,13.221739000,63.4,2016-07-21T15:22:16Z
